source,target,edge
ALJ66O1Y6SLHA,B000K2PJ4K,5.0
ALJ66O1Y6SLHA,B000K2PJ4K,5.0
ALJ66O1Y6SLHA,B000K2PJ4K,5.0
ALJ66O1Y6SLHA,B000K2PJ4K,5.0
ALJ66O1Y6SLHA,B000K2PJ4K,5.0
A3W11493KS6Z2L,B000K2PJ4K,1.0
A3W11493KS6Z2L,B000K2PJ4K,5.0
A3W11493KS6Z2L,B000K2PJ4K,5.0
A3W11493KS6Z2L,B000K2PJ4K,5.0
A3W11493KS6Z2L,B000K2PJ4K,3.0
A3HX4X3TIABWOV,B000KPIHQ4,1.0
AW8UBYMNJ894V,B000KPIHQ4,1.0
A265UZVOZWTTXQ,B000KPIHQ4,5.0
AW8UBYMNJ894V,B000KPIHQ4,5.0
A265UZVOZWTTXQ,B000KPIHQ4,5.0
AW8UBYMNJ894V,B000KPIHQ4,5.0
A265UZVOZWTTXQ,B000KPIHQ4,5.0
A3HX4X3TIABWOV,B000V0IBDM,2.0
AW8UBYMNJ894V,B000V0IBDM,2.0
A265UZVOZWTTXQ,B000V0IBDM,5.0
AW8UBYMNJ894V,B000V0IBDM,5.0
A265UZVOZWTTXQ,B000V0IBDM,5.0
AW8UBYMNJ894V,B000V0IBDM,5.0
A265UZVOZWTTXQ,B000V0IBDM,5.0
A3QY3THQ42WSCQ,B000YFSR5G,1.0
AGZ5OOZVDO194,B000YFSR5G,5.0
A3GJ3DJU1RXOHN,B000YFSR4W,4.0
A232J1FHOQI5YN,B000YFSR5G,5.0
A2ON4RYI9Z4SQ,B000YFSR5G,5.0
A3QY3THQ42WSCQ,B000YFSR4W,1.0
A232J1FHOQI5YN,B000YFSR5G,5.0
A1EZN3E9R322YJ,B000YFSR5G,5.0
A3T8NHQYBQSV1X,B000YFSR5G,1.0
A2NEJIX5NIH2ZZ,B000YFSR5G,5.0
A2NEJIX5NIH2ZZ,B000YFSR5G,1.0
A3T8NHQYBQSV1X,B000YFSR5G,5.0
A1G0HYMR02WM2W,B000YFSR5G,3.0
AGZ5OOZVDO194,B000YFSR4W,5.0
A2BFZUQ2XV535H,B000YFSR5G,5.0
ABX2R8Q6GBTJ8,B000YFSR5G,2.0
ABX2R8Q6GBTJ8,B000YFSR5G,2.0
A1Y01U6OZLZE7I,B000YFSR5G,4.0
A21HH0VIBKK80J,B000YFSR5G,1.0
A1G0HYMR02WM2W,B000YFSR5G,3.0
A2BFZUQ2XV535H,B000YFSR5G,5.0
A3E30OLSMGJEVK,B000YFSR5G,5.0
A26TEJJ6YOGWMZ,B000YFSR5G,2.0
A2J9WEIRNVTX61,B000YFSR5G,3.0
A2UUEV4MYOJY66,B000YFSR5G,4.0
A3E30OLSMGJEVK,B000YFSR5G,5.0
A26TEJJ6YOGWMZ,B000YFSR5G,2.0
A2J9WEIRNVTX61,B000YFSR5G,3.0
A2UUEV4MYOJY66,B000YFSR5G,4.0
A36GNVEQP92OPA,B000YFSR5G,5.0
A232J1FHOQI5YN,B000YFSR4W,5.0
A2ON4RYI9Z4SQ,B000YFSR4W,5.0
A3GJ3DJU1RXOHN,B000YFSR5G,4.0
A232J1FHOQI5YN,B000YFSR4W,5.0
A1EZN3E9R322YJ,B000YFSR4W,5.0
A3T8NHQYBQSV1X,B000YFSR4W,3.0
A2NEJIX5NIH2ZZ,B000YFSR4W,5.0
A2NEJIX5NIH2ZZ,B000YFSR4W,3.0
A3T8NHQYBQSV1X,B000YFSR4W,4.0
A1G0HYMR02WM2W,B000YFSR4W,3.0
A2BFZUQ2XV535H,B000YFSR4W,5.0
ABX2R8Q6GBTJ8,B000YFSR4W,2.0
ABX2R8Q6GBTJ8,B000YFSR4W,2.0
A1Y01U6OZLZE7I,B000YFSR4W,4.0
A21HH0VIBKK80J,B000YFSR4W,1.0
A1G0HYMR02WM2W,B000YFSR4W,3.0
A3CNRM11BHAR1A,B0012DR1LU,5.0
A3CNRM11BHAR1A,B0012DR1LU,5.0
A276HQXYS553QW,B0014F8TIU,1.0
A276HQXYS553QW,B0014F8TIU,1.0
A3BN0MRGRDKM0J,B0014F8TIU,5.0
A276HQXYS553QW,B0014F8TIU,5.0
A3HX4X3TIABWOV,B0014HA6VG,4.0
A3HX4X3TIABWOV,B0014HA6VG,5.0
A1Z8U8IPBLBEU5,B0017LD0BM,1.0
A36GNVEQP92OPA,B0017LD0BM,1.0
A33GD4H5O1MK6S,B0017LD0BM,4.0
A12DWXDNZQTKXQ,B0017LD0BM,1.0
A2VR6SWVSF6K4,B0017LD0BM,1.0
A1Z8U8IPBLBEU5,B0017LGD34,3.0
A36GNVEQP92OPA,B0017LGD34,2.0
A33GD4H5O1MK6S,B0017LGD34,4.0
A12DWXDNZQTKXQ,B0017LGD34,3.6666666666666665
A2VR6SWVSF6K4,B0017LGD34,4.0
A3QY3THQ42WSCQ,B000YFSR5G,1.0
AGZ5OOZVDO194,B000YFSR5G,5.0
A3GJ3DJU1RXOHN,B000YFSR4W,4.0
A232J1FHOQI5YN,B000YFSR5G,5.0
A2ON4RYI9Z4SQ,B000YFSR5G,5.0
A3QY3THQ42WSCQ,B000YFSR4W,1.0
A232J1FHOQI5YN,B000YFSR5G,5.0
A1EZN3E9R322YJ,B000YFSR5G,5.0
A3T8NHQYBQSV1X,B000YFSR5G,3.0
A2NEJIX5NIH2ZZ,B000YFSR5G,5.0
A2NEJIX5NIH2ZZ,B000YFSR5G,3.0
A3T8NHQYBQSV1X,B000YFSR5G,4.0
A1G0HYMR02WM2W,B000YFSR5G,3.0
AGZ5OOZVDO194,B000YFSR4W,5.0
A2BFZUQ2XV535H,B000YFSR5G,5.0
ABX2R8Q6GBTJ8,B000YFSR5G,2.0
ABX2R8Q6GBTJ8,B000YFSR5G,2.0
A1Y01U6OZLZE7I,B000YFSR5G,4.0
A21HH0VIBKK80J,B000YFSR5G,1.0
A1G0HYMR02WM2W,B000YFSR5G,3.0
A2BFZUQ2XV535H,B000YFSR5G,5.0
A3E30OLSMGJEVK,B000YFSR5G,5.0
A26TEJJ6YOGWMZ,B000YFSR5G,2.0
A2J9WEIRNVTX61,B000YFSR5G,3.0
A2UUEV4MYOJY66,B000YFSR5G,4.0
A3E30OLSMGJEVK,B000YFSR5G,5.0
A26TEJJ6YOGWMZ,B000YFSR5G,2.0
A2J9WEIRNVTX61,B000YFSR5G,3.0
A2UUEV4MYOJY66,B000YFSR5G,4.0
A36GNVEQP92OPA,B000YFSR5G,5.0
A232J1FHOQI5YN,B000YFSR4W,5.0
A2ON4RYI9Z4SQ,B000YFSR4W,5.0
A3GJ3DJU1RXOHN,B000YFSR5G,4.0
A232J1FHOQI5YN,B000YFSR4W,5.0
A1EZN3E9R322YJ,B000YFSR4W,5.0
A3T8NHQYBQSV1X,B000YFSR4W,3.0
A2NEJIX5NIH2ZZ,B000YFSR4W,5.0
A2NEJIX5NIH2ZZ,B000YFSR4W,3.0
A3T8NHQYBQSV1X,B000YFSR4W,4.0
A1G0HYMR02WM2W,B000YFSR4W,3.0
A2BFZUQ2XV535H,B000YFSR4W,5.0
ABX2R8Q6GBTJ8,B000YFSR4W,2.0
ABX2R8Q6GBTJ8,B000YFSR4W,2.0
A1Y01U6OZLZE7I,B000YFSR4W,4.0
A21HH0VIBKK80J,B000YFSR4W,1.0
A1G0HYMR02WM2W,B000YFSR4W,3.0
A3CNRM11BHAR1A,B0012DR1LU,5.0
A3CNRM11BHAR1A,B0012DR1LU,5.0
